step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,orig_pincode,orig_latitude,orig_longitude,orig_state,dest_pincode,dest_latitude,dest_longitude,dest_state,transaction_date,is_festival_day,festival_name,transaction_note,user_profile
1702,CASH_IN,330218.42,C632336343,20866.0,351084.42,C834976624,452419.57,122201.15,0,0,493229,20.71358420843128,78.46782029445231,CHHATTISGARH,462010,20.34336953969731,78.86803690357371,MADHYA PRADESH,2025-03-12 22:56:40,False,,Loan,Farmer
744,PAYMENT,11647.08,C1264712553,30370.0,18722.92,M215391829,0.0,0.0,0,0,534209,20.37239198742431,79.00230113224733,ANDHRA PRADESH,502220,20.83114164648513,79.0273577033852,TELANGANA,2025-02-01 00:26:03,False,,Shopping payment,Student
6553,CASH_IN,152264.21,C1746846248,106589.0,258853.21,C1607284477,201303.01,49038.8,0,0,140126,20.640602554304998,78.91488421325589,PUNJAB,852133,20.946379882339482,79.0991781978405,BIHAR,2025-10-01 01:36:50,True,Maha Navami,Sent for emi,Salaried
5702,TRANSFER,1551760.63,C333676753,0.0,0.0,C1564353608,3198359.45,4750120.08,0,0,486885,21.06610978899786,78.46324513322618,MADHYA PRADESH,314029,20.78006426603321,78.72546950041256,RAJASTHAN,2025-08-26 14:43:12,False,,Sent for mobile,Salaried
5840,CASH_IN,78172.3,C813403091,2921331.58,2999503.88,C1091768874,415821.9,337649.6,0,0,825415,20.165450261231026,79.01583805304126,JHARKHAND,416508,20.985671405523966,78.7650072259465,MAHARASHTRA,2025-09-01 09:05:55,False,,Rent,Student
5430,PAYMENT,915.13,C2002954533,0.0,0.0,M290849763,0.0,0.0,0,0,311204,20.682354976985586,78.62820178992575,RAJASTHAN,571252,20.900712031078562,79.15165954532095,KARNATAKA,2025-08-15 06:54:57,True,Independence Day,Chai payment,Student
5295,CASH_OUT,20603.87,C813757373,0.0,0.0,C823291717,558068.66,578672.53,0,0,686503,20.682380054457237,79.29269867487201,KERALA,243751,20.182171491462796,79.15012387198037,UTTAR PRADESH,2025-08-09 15:39:56,True,Rakhi,Sis EMI,Farmer
5091,CASH_OUT,58605.72,C1850864812,0.0,0.0,C618657299,585494.94,644100.66,0,0,722155,20.27238111422613,79.20000639085296,WEST BENGAL,754027,20.40135243332402,79.10946668103124,ODISHA,2025-08-01 03:35:13,False,,Sir College fee,Student
2135,PAYMENT,4865.11,C886849972,0.0,0.0,M623175144,0.0,0.0,0,0,670672,20.828838956578185,78.5981678589575,KERALA,127111,20.19919864054899,79.03809522398947,HARYANA,2025-03-30 23:38:54,True,Jhulelal Jayanti,Dad Shopping,Salaried
7910,CASH_OUT,118131.63,C390714641,0.0,0.0,C366360355,8131691.35,8476246.86,0,0,781138,20.906361744946857,79.06630693961151,ASSAM,781135,20.133540464876443,79.36490927591414,ASSAM,2025-11-26 15:12:50,False,,Sent for loan,Salaried
8174,CASH_OUT,141100.88,C1514989792,80506.0,0.0,C409578677,89384.09,230484.96,0,0,622002,21.051338147951604,78.86553261391091,TAMIL NADU,678546,20.856439782368405,79.16711452199125,KERALA,2025-12-07 14:24:23,False,,Sent for mobile,Salaried
4675,CASH_OUT,384177.48,C94444270,40348.0,0.0,C379896225,0.0,384177.48,0,0,174301,20.724794532965173,79.46257380589797,HIMACHAL PRADESH,622402,20.878085709739473,78.79429101345413,TAMIL NADU,2025-07-14 20:05:09,False,,Mobile payment,Student
6584,CASH_OUT,153486.36,C513018655,20476.0,0.0,C1302281681,85173.16,238659.53,0,0,534448,20.603644850976334,79.23581367849391,ANDHRA PRADESH,201009,21.021745869960327,79.04528779373246,UTTAR PRADESH,2025-10-02 08:35:17,True,Gandhi Jayanti,Rent,Farmer
7921,CASH_OUT,51042.59,C122114408,184.0,0.0,C705120650,380143.14,431185.74,0,0,143519,20.255211243625695,79.40173542500877,PUNJAB,845107,21.063306559972247,78.69741542666358,BIHAR,2025-11-27 01:58:21,False,,Laptop payment,Business
3851,PAYMENT,48691.16,C1810046508,0.0,0.0,M487081598,0.0,0.0,0,0,301414,20.538333114153,78.73027795885963,RAJASTHAN,623308,20.893608439925984,78.62932233761971,TAMIL NADU,2025-06-10 12:03:51,False,,Sent for laptop,Salaried
599,PAYMENT,36598.65,C1365498607,8240.66,0.0,M969218364,0.0,0.0,0,0,391130,20.777655371951006,78.70065558671408,GUJARAT,700082,20.986772487760337,78.7636614552799,WEST BENGAL,2025-01-25 23:26:55,False,,Mom SIP,Salaried
5290,CASH_OUT,124443.29,C12524561,14236.0,0.0,C579157353,0.0,124443.29,0,0,143408,20.654574466925677,79.00880736583467,PUNJAB,636452,21.0386164207696,79.11374292171585,TAMIL NADU,2025-08-09 10:44:18,True,Rakhi,Hotel,Student
7421,CASH_OUT,510190.97,C1564771551,57590.0,0.0,C718731643,115914.88,626105.86,0,0,506319,20.640883269637737,78.96051665590252,TELANGANA,689647,20.727198324167386,78.55620641388607,KERALA,2025-11-06 06:05:42,False,,Loan,Student
6790,TRANSFER,940927.27,C1346570604,8568.0,0.0,C1178934515,0.0,940927.27,0,0,441122,21.015074,79.000222,MAHARASHTRA,344044,20.87165027685021,78.96801793299902,RAJASTHAN,2025-10-10 23:04:05,True,Karwa Chauth,Mobile payment,Farmer
8468,CASH_OUT,240156.34,C807101143,0.0,0.0,C1531623971,2811902.28,3052058.62,0,0,691309,20.499037962543404,78.53830575284897,KERALA,757032,20.717280912398717,78.72696666208046,ODISHA,2025-12-19 20:40:56,False,,Investment,Farmer
4938,CASH_OUT,44360.26,C346953986,0.0,0.0,C526046232,282664.52,327024.78,0,0,627102,20.72863613548294,78.73946092644239,TAMIL NADU,425101,20.309193963012117,78.68368127666017,MAHARASHTRA,2025-07-25 18:56:11,False,,EMI,Business
235,CASH_OUT,338458.24,C25552315,30283.0,0.0,C75671301,1055729.15,1564103.49,0,0,143513,21.07381882970117,78.62595159009508,PUNJAB,799001,20.43148510644241,78.62641766723503,TRIPURA,2025-01-10 19:56:03,True,Tailang Swami Jayanti,Laptop,Salaried
6985,CASH_IN,311748.24,C200195468,4279.0,316027.24,C786997986,27843.39,0.0,0,0,263126,21.031637532909716,79.42553864462938,UTTARAKHAND,791112,20.774216523523766,79.46179010358199,ARUNACHAL PRADESH,2025-10-19 01:27:10,False,,College fee payment,Salaried
3247,DEBIT,151.58,C1576094043,10659.0,10507.42,C1308477441,50706.33,50857.9,0,0,332304,20.256464681873176,79.42400909364233,RAJASTHAN,695317,20.884612879346154,78.83381469121328,KERALA,2025-05-16 07:25:34,False,,Topup payment,Salaried
3275,PAYMENT,26565.95,C1512675672,0.0,0.0,M1330826048,0.0,0.0,0,0,793108,20.338252798601328,79.3442074493605,MEGHALAYA,577554,20.18144109882796,79.37754554910826,KARNATAKA,2025-05-17 11:29:13,False,,Sent for insurance,Business
2684,CASH_OUT,6.57,C1286124147,0.0,0.0,C1885613878,2909681.35,2909687.93,0,0,382650,20.4739975515239,79.00531633060939,GUJARAT,834009,20.89941933494261,78.49389110434106,JHARKHAND,2025-04-22 20:27:49,True,Earth Day,Sent for bus ticket,Farmer
5718,CASH_IN,23898.77,C1953063740,50271.0,74169.77,C212080696,205872.37,181973.6,0,0,670562,20.196216875643373,79.08291961135409,KERALA,505528,20.869014366087427,78.86076422213328,TELANGANA,2025-08-27 07:17:12,True,Ganesh Chaturthi,EMI,Business
5331,CASH_OUT,26360.78,C470767940,365.0,0.0,C598132143,202458.96,244056.68,0,0,754024,20.863037258794368,78.65363251300431,ODISHA,173202,21.006323710863306,79.24363418849158,HIMACHAL PRADESH,2025-08-11 03:29:12,False,,Sir Insurance,Student
4040,CASH_IN,192935.2,C709178804,51937.0,244872.2,C1163988187,171874.85,0.0,0,0,249402,20.357179626144127,79.36879190504682,UTTARAKHAND,326520,20.86770358110283,78.58715615127508,RAJASTHAN,2025-06-18 08:24:22,False,,Mobile payment,Business
4375,TRANSFER,18801.43,C920671013,126.0,0.0,C1418884586,0.0,18801.43,0,0,608701,20.520513225065272,78.57424922347614,TAMIL NADU,686613,20.975435416146293,78.69258990723148,KERALA,2025-07-02 08:01:06,False,,Electric bill payment,Business
6809,PAYMENT,3516.08,C633099116,0.0,0.0,M2117267163,0.0,0.0,0,0,225405,20.380655672761442,78.91689736161531,UTTAR PRADESH,144508,20.302794176774285,78.77786454192365,PUNJAB,2025-10-11 17:24:13,False,,Dinner,Salaried
5542,PAYMENT,6987.8,C220437223,0.0,0.0,M1751641542,0.0,0.0,0,0,303002,20.716623920706795,78.46991998896708,RAJASTHAN,755062,20.238089607857887,79.278269877327,ODISHA,2025-08-19 22:34:41,False,,Sir Dinner,Business
2670,CASH_IN,8808.73,C1717919401,50485.0,59293.73,C645140627,177448.43,168639.7,0,0,416804,20.115230857112596,79.04681015201392,MAHARASHTRA,766100,20.173492606919904,78.64714629632297,ODISHA,2025-04-22 06:31:14,True,Earth Day,Shopping,Student
3781,PAYMENT,24649.07,C1353964860,0.0,0.0,M1059671726,0.0,0.0,0,0,462008,20.23454393446026,78.82894254238194,MADHYA PRADESH,496334,20.91750307803649,79.46136594520108,CHHATTISGARH,2025-06-07 13:25:19,True,Bakrid,Sent for hotel,Salaried
613,CASH_OUT,97562.73,C1894828300,5396.0,0.0,C1975390043,2455585.33,2553148.05,0,0,680027,20.81076835837487,78.67748093769127,KERALA,751007,20.400158684197173,79.14129186204826,ODISHA,2025-01-26 13:51:12,True,Republic Day,Sent for hotel,Student
3736,TRANSFER,598680.17,C544409289,45059.0,0.0,C956338890,2559233.0,3157913.17,0,0,515871,20.844384573570327,78.92222932157777,ANDHRA PRADESH,502109,20.550202918465587,79.11156312141819,TELANGANA,2025-06-05 16:37:36,True,World Environment Day,Bro Mobile,Business
